cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan connector 	 4 pin	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan rated voltage 	 12 vdc	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan rated current 	 0.3 a	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan safety current 	 0.37 a	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan power consumption 	 3.6 w	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	warranty 	 5 years	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	ean code 	 4719512071076	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	upc code 	 884102043574	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	compatibility 	 intel	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	amd	 socket am2 am3 am4 fm1 fm2	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	dimensions	 136 x 154 x 85 mm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	weight	 645 g 22.8 oz	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	accessory	 mounting parts for intel and amd sockets fan fan clips thermal grease installation manual.	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	model name	 kaze flex 120 pwm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	fan size	 120 x 120 x 27 mm 4.72 x 4.72 x 1.06 mm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	noise level	 4.0 to 24.9 dba	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	air flow	 16.6 to 51.17 cfm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	fan speed	 300 rpm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	voltage current	 dc 12v 013a	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	static pressure	 0.75 to 10.3 pa 0.076 to 1.5 mmh o	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	bearing type	 sealed precision fdb	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	intel 	 lga20xx 1151 1150 1155 lga775 lga1366	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	amd 	 am4 am3 am3 am2 am2 fm2 fm2 fm1	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	product dimensions 	 126 134 158 mm	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	heatsink dimensions 	 120 108 158 mm	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	net weight 	 1123 g	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	heatpipe 	 6 mm 6 pcs	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan dimensions 	 120 120 25 mm	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan speed 	 500 to 1500 rpm	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan airflow 	 56.5 cfm	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan air pressure 	 1.66 mmaq	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan noise 	 27 db	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan connector 	 4 pin pwm	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	bearing type 	 hydro bearing	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan rated voltage 	 12 vdc	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan rated current 	 0.11 a	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	fan power consumption 	 1.32 w	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	led type 	 rgb led	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	led connector 	 4 pin	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	led rated voltage 	 12 vdc	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	led power consumption 	 1.44 w	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	product dimensions 	 129 77 157.5 mm	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	heatsink dimensions 	 127 50 155 mm	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	net weight 	 676 g	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	heatpipe 	 6 mm 4 pcs	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan dimensions 	 120 120 25mm	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan speed 	 500 to 1650 rpm	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan airflow 	 64.5 cfm	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan air pressure 	 2.1 mmaq	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan noise 	 27.8 db	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan connector 	 4 pin pwm	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	bearing type 	 hydro bearing	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan rated voltage 	 12 vdc	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan rated current 	 0.14 a	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	fan power consumption 	 1.68 w	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	led type 	 addressable rgb led	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	led connector 	 3 pin	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	led rated voltage 	 5 vdc	
cpu air cooler พัดลมซีพียู deepcool gammaxx gt a rgb	led power consumption 	 2.4 w	
cpu air cooler พัดลมซีพียู id cooling se 913 r	compatibility 	 intel lga1151 1150 1155 1156 775	
cpu air cooler พัดลมซีพียู id cooling se 913 r	tdp 	 130w	
cpu air cooler พัดลมซีพียู id cooling se 913 r	overall dimension 	 99 85 122mm	
cpu air cooler พัดลมซีพียู id cooling se 913 r	heatsink material 	 3 6mm heatpipe aluminum fin	
cpu air cooler พัดลมซีพียู id cooling se 913 r	weight 	 575g	
cpu air cooler พัดลมซีพียู id cooling se 913 r	fan dimension 	 92 92 25mm	
cpu air cooler พัดลมซีพียู id cooling se 913 r	fan speed 	 600 to 2200rpm	
cpu air cooler พัดลมซีพียู id cooling se 913 r	max. air flow 	 38.5cfm	
cpu air cooler พัดลมซีพียู id cooling se 913 r	max. static pressure 	 1.92mmh2o	
cpu air cooler พัดลมซีพียู id cooling se 913 r	rated voltage 	 12vdc	
cpu air cooler พัดลมซีพียู id cooling se 913 r	operating voltage 	 10.8 13.2vdc	
cpu air cooler พัดลมซีพียู id cooling se 913 r	started voltage 	 7vdc	
cpu air cooler พัดลมซีพียู id cooling se 913 r	rated current 	 0.2a	
cpu air cooler พัดลมซีพียู id cooling se 913 r	power input 	 2.4w	
cpu air cooler พัดลมซีพียู id cooling se 913 r	bearing type 	 hydraulic bearing	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	pwm	 yes	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	heatsink dimensions	 137mm x 169mm x 103mm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	corsair icue compatibility	 no	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	heatsink dimensions w fan	 144mm x 169mm x 171mm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	cold plate type	 direct contact heatpipe	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	fan dimensions	 120mm x 120mm x 25mm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	fan speed	 2400 rpm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	weight	 1460g	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	number of fans	 2	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	cooling socket support		
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	lighting	 none	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	fan model	 ml series	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	heatpipe material	 copper	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	heatsink material	 aluminum	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	maximum ram height 	 45mm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	maximum ram height 	 45mm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	fan airflow	 75 cfm	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	noise level	 36 dba	
cpu air cooler พัดลมซีพียู corsair a500 dual fan ct 9010003 ww 	fan static pressure	 4.2 mm h2o	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	tdp 	 180w	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	overall dimension 	 120 73 154mm	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	heatsink material 	 4 6mm heatpipe aluminum fin	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	weight 	 810g	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	fan dimension 	 120 120 25mm	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	fan speed 	 700 to 1800 rpm	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	max. air flow 	 76.16cfm	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	max. static pressure 	 2.16mmh2o	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	noise 	 15.2 to 32.5db	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	rated voltage 	 12vdc	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	operating voltage 	 10.8 13.2vdc	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	started voltage 	 7vdc	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	rated current 	 0.2a	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	power input 	 2.4w	
cpu air cooler พัดลมซีพียู id cooling se 224 xt basic	bearing type 	 hydraulic bearing	
keyboard คีย์บอร์ด md tech kb 333 b usb en th 	interface 	 usb 2.0	
keyboard คีย์บอร์ด md tech kb 338 usb silver black en th 	model 	 usb keyboard md tech kb 338	
keyboard คีย์บอร์ด md tech kb 338 usb silver black en th 	interface 	 usb	
keyboard คีย์บอร์ด md tech kb 338 usb silver black en th 	keys windows layout 	 104 keys	
keyboard คีย์บอร์ด logitech k200 usb media black 	อินเตอร์เฟซ	 รองรับ usb	
