,Unnamed: 0,Name,No.,link
15,0,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-913-R,116,https://www.jib.co.th/web/product/readProduct/36666/783/CPU-AIR-COOLER--%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1%E0%B8%8B%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%B9--ID-COOLING-SE-913-R
16,0,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL GAMMAXX GTE V2,117,https://www.jib.co.th/web/product/readProduct/36694/783/CPU-AIR-COOLER--%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1%E0%B8%8B%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%B9--DEEPCOOL-GAMMAXX-GTE-V2
17,0,CPU AIR COOLER (พัดลมซีพียู) CORSAIR A500 DUAL FAN (CT-9010003-WW),118,https://www.jib.co.th/web/product/readProduct/37457/783/CPU-AIR-COOLER--%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1%E0%B8%8B%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%B9--CORSAIR-A500-DUAL-FAN--CT-9010003-WW-
18,0,CPU AIR COOLER (พัดลมซีพียู) NOCTUA NH-D9 DX-3647 4U (FOR lNTEL XEON),119,https://www.jib.co.th/web/product/readProduct/37001/783/CPU-AIR-COOLER--%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1%E0%B8%8B%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%B9--NOCTUA--NH-D9-DX-3647-4U--FOR-lNTEL-XEON-
19,0,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-234 ARGB,120,https://www.jib.co.th/web/product/readProduct/37711/783/CPU-AIR-COOLER--%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1%E0%B8%8B%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%B9--ID-COOLING-SE-234-ARGB
20,0,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-224-XT BASIC,121,https://www.jib.co.th/web/product/readProduct/37723/783/CPU-AIR-COOLER--%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1%E0%B8%8B%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%B9--ID-COOLING--SE-224-XT-BASIC
21,0,KEYBOARD (คีย์บอร์ด) LOGITECH K120 USB (BLACK),122,https://www.jib.co.th/web/product/readProduct/6828/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--LOGITECH-K120-USB--BLACK-
22,0,KEYBOARD (คีย์บอร์ด) MD-TECH KB-333 B USB (EN/TH),123,https://www.jib.co.th/web/product/readProduct/11823/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--MD-TECH-KB-333-B-USB--EN-TH-
23,0,KEYBOARD (คีย์บอร์ด) MD-TECH KB-338 USB (SILVER-BLACK) (EN/TH),124,https://www.jib.co.th/web/product/readProduct/14907/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--MD-TECH-KB-338-USB--SILVER-BLACK---EN-TH-
24,0,KEYBOARD (คีย์บอร์ด) SIGNO KB-712 (RUBBER DOME) (ILLUMINATED),125,https://www.jib.co.th/web/product/readProduct/33624/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--SIGNO-KB-712--RUBBER-DOME---ILLUMINATED-
25,0,KEYBOARD (คีย์บอร์ด) LOGITECH K200 USB MEDIA (BLACK),126,https://www.jib.co.th/web/product/readProduct/31666/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--LOGITECH-K200-USB-MEDIA--BLACK-
26,0,KEYBOARD (คีย์บอร์ด) NUBWO X X28 SORCERER RGB EDITION (BLUE SWITCH) (RGB LED) (EN/TH),127,https://www.jib.co.th/web/product/readProduct/36716/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--NUBWO-X-X28-SORCERER-RGB-EDITION--BLUE-SWITCH---RGB-LED---EN-TH-
27,0,KEYBOARD (คีย์บอร์ด) Dell Multimedia-KB216(Thai) (Black),128,https://www.jib.co.th/web/product/readProduct/36509/1762/KEYBOARD--%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--Dell-Multimedia-KB216-Thai---Black-
28,0,MOUSE (เมาส์) MICROSOFT BASIC OPTICAL (BLACK) MCS-P58-00065,129,https://www.jib.co.th/web/product/readProduct/14280/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--MICROSOFT-BASIC-OPTICAL--BLACK--MCS-P58-00065
29,0,MOUSE (เมาส์) LOGITECH USB B100 (BLACK),130,https://www.jib.co.th/web/product/readProduct/26007/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--LOGITECH-USB-B100--BLACK-
30,0,MOUSE (เมาส์) NUBWO SILENT NM019 (RED),131,https://www.jib.co.th/web/product/readProduct/14352/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--NUBWO-SILENT-NM019--RED-
31,0,MOUSE (เมาส์) MICROSOFT BASIC OPTICAL (WHITE) MCS-P58-00066,132,https://www.jib.co.th/web/product/readProduct/14281/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--MICROSOFT-BASIC-OPTICAL--WHITE--MCS-P58-00066
32,0,MOUSE (เมาส์) MICROSOFT CLASSIC INTELLIMOUSE MCS-HDQ-00005,133,https://www.jib.co.th/web/product/readProduct/30765/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--MICROSOFT-CLASSIC-INTELLIMOUSE-MCS-HDQ-00005
33,0,MOUSE (เมาส์) GAMING PENTAGONZ SCYLLA A37M-C (BLACK),134,https://www.jib.co.th/web/product/readProduct/34294/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--GAMING-PENTAGONZ-SCYLLA-A37M-C--BLACK-
34,0,MOUSE (เมาส์) NUBWO LUCIAN NM010 (GRAY),135,https://www.jib.co.th/web/product/readProduct/37030/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--NUBWO-LUCIAN-NM010--GRAY-
35,0,MOUSE (เมาส์) MICROSOFT WIRED ERGONOMIC MCS-RJG-00005,136,https://www.jib.co.th/web/product/readProduct/37164/495/MOUSE--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C--MICROSOFT-WIRED-ERGONOMIC-MCS-RJG-00005
36,0,MOUSE PAD (เมาส์แพด) NUBWO GAMING NP013 (RED),137,https://www.jib.co.th/web/product/readProduct/21282/497/MOUSE-PAD--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C%E0%B9%81%E0%B8%9E%E0%B8%94--NUBWO-GAMING-NP013--RED-
37,0,MOUSE PAD (เมาส์แพด) NUBWO GAMING NP013 (YELLOW),138,https://www.jib.co.th/web/product/readProduct/21281/497/MOUSE-PAD--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C%E0%B9%81%E0%B8%9E%E0%B8%94--NUBWO-GAMING-NP013--YELLOW-
38,0,MOUSE PAD (เมาส์แพด) NUBWO GAMING NP015 (BLACK),139,https://www.jib.co.th/web/product/readProduct/21297/497/MOUSE-PAD--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C%E0%B9%81%E0%B8%9E%E0%B8%94--NUBWO-GAMING-NP015--BLACK-
